epoch,train_loss,val_loss,learning_rate,epoch_time_sec
1,0.924622,0.350961,0.00100000,32.17
2,0.622707,0.297806,0.00100000,34.79
3,0.551566,0.272930,0.00100000,38.11
4,0.494901,0.254100,0.00100000,37.12
5,0.465492,0.236160,0.00100000,38.04
6,0.439466,0.229985,0.00100000,34.89
7,0.419527,0.200808,0.00100000,38.06
8,0.399663,0.211684,0.00100000,34.20
9,0.394586,0.187086,0.00100000,23.82
10,0.384346,0.196681,0.00100000,33.52
11,0.374463,0.193545,0.00100000,23.86
12,0.365491,0.181106,0.00100000,30.14
13,0.355916,0.189107,0.00100000,29.83
14,0.351220,0.182186,0.00100000,26.22
15,0.348440,0.166754,0.00100000,34.87
16,0.347973,0.188441,0.00100000,18.03
17,0.336478,0.172393,0.00100000,17.50
18,0.342646,0.179023,0.00100000,16.87
19,0.331344,0.193151,0.00100000,17.04
20,0.325531,0.178463,0.00100000,17.47
21,0.325097,0.192307,0.00050000,16.80
22,0.303041,0.175305,0.00050000,17.74
23,0.298714,0.182655,0.00050000,25.67
24,0.293347,0.164406,0.00050000,25.15
25,0.291627,0.169549,0.00050000,25.37
26,0.295360,0.178298,0.00050000,24.94
27,0.289351,0.173815,0.00050000,24.99
28,0.286591,0.176238,0.00050000,26.32
29,0.289460,0.194234,0.00050000,24.95
30,0.288259,0.171582,0.00025000,25.21
31,0.275207,0.195270,0.00025000,24.76
32,0.272564,0.188067,0.00025000,27.77
33,0.272411,0.190335,0.00025000,21.64
34,0.271691,0.188389,0.00025000,16.69
35,0.276343,0.184938,0.00025000,21.40
36,0.268000,0.168916,0.00012500,27.50
37,0.265280,0.200038,0.00012500,30.10
38,0.261729,0.188944,0.00012500,28.84
39,0.263596,0.174732,0.00012500,25.09
